Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6nkcPGa0sr24NFCc5l5UjE,If I Could Tell Her,Dear Evan Hansen (Original Broadway Cast Recording),Ben Platt;Laura Dreyfuss,2/3/2017,248653,59,FALSE,,2022-11-19T00:29:37Z,musicals,Atlantic Records,0.584,0.312,4,-8.249,1,0.0405,0.647,0,0.152,0.455,96.026,4
spotify:track:3dP0pLbg9OfVwssDjp9aT0,Satisfied,Hamilton (Original Broadway Cast Recording),Renée Elise Goldsberry;Original Broadway Cast of Hamilton,9/25/2015,329228,77,FALSE,,2022-11-19T00:29:32Z,musicals,Atlantic Records,0.707,0.593,5,-8.581,0,0.0949,0.287,0,0.15,0.478,123.772,4
spotify:track:4BoTrCdVPZHU4iBC0kcid7,Requiem,Requiem [from Dear Evan Hansen (Original Broadway Cast Recording)],Laura Dreyfuss;Michael Park;Jennifer Laura Thompson,1/27/2017,259693,56,FALSE,,2022-11-19T00:29:29Z,musicals,Atlantic Records,0.409,0.404,4,-6.517,1,0.0285,0.446,0,0.132,0.288,80.356,4
spotify:track:2xGjteMU3E1tkEPVFBO08U,This Is Me,This Is Me,Keala Settle;The Greatest Showman Ensemble,10/27/2017,234706,74,FALSE,,2022-11-19T00:29:28Z,musicals,Atlantic Records,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,4
spotify:track:6OG1S805gIrH5nAQbEOPY3,You'll Be Back,Hamilton (Original Broadway Cast Recording),Jonathan Groff;Original Broadway Cast of Hamilton,9/25/2015,208321,74,FALSE,,2022-11-19T00:29:21Z,musicals,Atlantic Records,0.607,0.466,0,-7.562,1,0.0578,0.39,0,0.135,0.434,121.741,4
spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,The Greatest Showman (Original Motion Picture Soundtrack),Loren Allred,12/8/2017,207786,79,FALSE,,2022-11-19T00:29:18Z,,Atlantic Records,0.277,0.394,8,-8.903,1,0.0336,0.423,0,0.0952,0.227,86.777,3
spotify:track:5JRgVMONxTRjC1g1d0XsvX,Elephant Love Medley,Moulin Rouge! The Musical (Original Broadway Cast Recording),Aaron Tveit;Karen Olivo;Original Broadway Cast of Moulin Rouge! The Musical,8/30/2019,325293,50,FALSE,,2022-11-19T00:24:17Z,musicals,House of Iona/RCA Records,0.397,0.62,3,-4.904,1,0.0726,0.349,0,0.108,0.378,143.53,4
spotify:track:70f9b6hWRsl3zchFyXzSzG,Firework,Moulin Rouge! The Musical (Original Broadway Cast Recording),Karen Olivo;Original Broadway Cast of Moulin Rouge! The Musical,8/30/2019,163773,47,FALSE,,2022-11-19T00:12:24Z,musicals,House of Iona/RCA Records,0.474,0.358,7,-8.103,1,0.0623,0.463,0,0.146,0.11,113.597,4
spotify:track:0Wf6n5vnawBcIsqehqUkeT,Shut Up And Raise Your Glass,Moulin Rouge! The Musical (Original Broadway Cast Recording),Aaron Tveit;Karen Olivo;Sahr Ngaujah;Ricky Rojas;Original Broadway Cast of Moulin Rouge! The Musical,8/30/2019,162093,51,FALSE,,2022-11-19T00:07:10Z,musicals,House of Iona/RCA Records,0.693,0.799,0,-4.971,1,0.0373,0.00769,0.000002,0.14,0.595,128.032,4
spotify:track:1WZdToQ3vpfpgKD9jPlFOS,Since U Been Gone - Juliet’s Version,Since U Been Gone (Juliet’s Version),Kelly Clarkson;Lorna Courtney,11/16/2022,169670,33,FALSE,,2022-11-19T00:04:28Z,christmas,Atlantic Records,0.627,0.871,6,-4.193,1,0.0631,0.00202,0.00000388,0.077,0.666,137.01,4
spotify:track:3gJOi9ALP9LHb5QLi7QWkw,Go the Distance,Right Where I Belong,Adam Jacobs,12/13/2015,206493,32,FALSE,,2022-11-19T00:04:11Z,musicals,ASD Music Company and Jalex Records,0.356,0.495,10,-6.739,1,0.0326,0.824,0,0.0859,0.292,143.271,4
spotify:track:4ZMgzWx00u4HoIXTaGccI2,As Long as You Love Me,& Juliet (Original London Cast Recording),Tim Mahendran,11/22/2019,80232,33,FALSE,,2022-11-19T00:02:59Z,musicals,Atlantic Records,0.647,0.221,9,-13.754,1,0.0306,0.804,0,0.241,0.667,95.171,4
spotify:track:5uESKziLEmtPh3RSdQi9jz,Larger Than Life,& Juliet (Original London Cast Recording),Oliver Tompsett;Original London Cast of & Juliet,11/22/2019,130038,43,FALSE,,2022-11-19T00:01:27Z,musicals,Atlantic Records,0.656,0.717,10,-7.277,0,0.0356,0.0032,0.00000933,0.065,0.8,120.012,4
spotify:track:5o1HqOWxAj2sJORw5yP05m,Since U Been Gone,& Juliet (Original London Cast Recording),Miriam-Teak Lee;Original London Cast of & Juliet,11/22/2019,158432,35,FALSE,,2022-11-19T00:00:17Z,musicals,Atlantic Records,0.671,0.79,0,-6.871,1,0.0325,0.0076,0.00000164,0.0684,0.674,137.009,4
spotify:track:5HYMDv682Ygf9iYEjI0DpV,Roar,& Juliet (Original London Cast Recording),Miriam-Teak Lee;Original London Cast of & Juliet,11/22/2019,217148,34,FALSE,,2022-11-18T23:58:13Z,musicals,Atlantic Records,0.585,0.688,0,-6.317,0,0.026,0.00163,0,0.153,0.35,90.045,4
spotify:track:71X7bPDljJHrmEGYCe7kQ8,The Schuyler Sisters,Hamilton (Original Broadway Cast Recording),Renée Elise Goldsberry;Phillipa Soo;Jasmine Cephas-Jones;Leslie Odom Jr.;Original Broadway Cast of Hamilton,9/25/2015,186542,75,FALSE,,2022-11-18T23:51:08Z,musicals,Atlantic Records,0.74,0.727,2,-6.253,1,0.278,0.187,0,0.627,0.792,101.409,4
spotify:track:07Ikb6oVQ5bddOktyquwFL,Beyond My Wildest Dreams,The Little Mermaid: Original Broadway Cast Recording,Sierra Boggess as Ariel,2/26/2008,183760,44,FALSE,,2022-11-18T23:50:58Z,musicals,Walt Disney Records,0.521,0.0804,5,-20.009,1,0.0614,0.827,0,0.0785,0.583,121.079,4
spotify:track:6aWJOPC5gpjTpRiyvrFOQm,Santa Fe,Newsies (Original Broadway Cast Recording),Jeremy Jordan,4/10/2012,192148,58,FALSE,,2022-11-18T23:50:47Z,musicals,Walt Disney Records,0.408,0.302,7,-11.699,1,0.0456,0.76,0,0.0832,0.283,96.457,3
spotify:track:2oMCHQh9SuyzGPl4Qw6jwl,The World Will Know,Newsies (Original Broadway Cast Recording),Jeremy Jordan;Newsies Original Broadway Cast,4/10/2012,248765,53,FALSE,,2022-11-18T23:44:14Z,musicals,Walt Disney Records,0.679,0.534,7,-7.71,1,0.0341,0.418,0,0.0557,0.548,93.964,4
spotify:track:1T0OMgJ1bSqlMDD8cWbvnL,Journey to the Past,Anastasia (Original Broadway Cast Recording),Christy Altomare,6/9/2017,196120,0,FALSE,,2022-11-18T23:38:38Z,musicals,Broadway Records,0.335,0.292,3,-9.738,1,0.0298,0.841,0.0000015,0.0872,0.201,80.841,4
spotify:track:1Gh2ARZyCVF2QZk32UrdbX,Strangers Like Me - Broadway Cast Recording,Tarzan: The Broadway Musical,Josh Strickland;Jenn Gambatese,1/1/2006,226640,26,FALSE,,2022-11-18T23:32:29Z,musicals,Walt Disney Records,0.679,0.768,1,-6.533,1,0.0525,0.554,0.00000197,0.223,0.442,119.997,4
spotify:track:4MimthDKiYVMCqDBJEiw1U,Under the Sea,The Little Mermaid: Original Broadway Cast Recording,Sea Creatures - The Little Mermaid Original Broadway Cast;Tituss Burgess as Sebastian,2/26/2008,246093,41,FALSE,,2022-11-18T23:29:44Z,musicals,Walt Disney Records,0.695,0.42,2,-13.754,1,0.056,0.65,0,0.19,0.856,99.146,4
spotify:track:2JEQiyNx2BuERPuQG6qNT4,Under the Sea (Reprise),The Little Mermaid: Original Broadway Cast Recording,Sea Creatures - The Little Mermaid Original Broadway Cast;Tituss Burgess as Sebastian,2/26/2008,74826,33,FALSE,,2022-11-18T23:06:37Z,musicals,Walt Disney Records,0.487,0.381,3,-15.228,1,0.479,0.794,0,0.186,0.78,99.834,4
spotify:track:1vBnxw4QenvKadQIn1n7TK,Finale Ultimo,Aladdin Original Broadway Cast Recording,Aladdin Original Broadway Cast,1/1/2014,166573,29,FALSE,,2022-11-17T03:41:47Z,musicals,Walt Disney Records,0.485,0.436,0,-5.636,0,0.037,0.304,0,0.0396,0.689,145.647,4
spotify:track:5o5Ku4PQ3y1PjtldS0PNrI,Proud of Your Boy (Reprise),Aladdin Original Broadway Cast Recording,Adam Jacobs,1/1/2014,65160,27,FALSE,,2022-11-16T23:22:08Z,musicals,Walt Disney Records,0.435,0.188,6,-12.534,1,0.0355,0.971,0.0000212,0.108,0.336,109.458,3
spotify:track:7tmtOEDxPN7CWaQWBsG1DY,Hold Back The River,Chaos And The Calm,James Bay,3/23/2015,238746,59,FALSE,,2022-11-16T16:16:16Z,,Mercury Records/Republic Owned,0.715,0.715,5,-7.364,1,0.0902,0.0526,0,0.0936,0.507,134.922,4
spotify:track:3ekNuTF3UpOvIZCfiejpnC,Stubborn Love,The Lumineers,The Lumineers,4/3/2012,279000,3,FALSE,,2022-11-16T16:14:06Z,"folk pop,indie folk",Dualtone Music Group,0.598,0.561,0,-11.676,1,0.0376,0.611,0.0417,0.196,0.231,115.011,4
spotify:track:4B4vB3oB8csotplfoQcAd6,Little Lion Man,Sigh No More,Mumford & Sons,10/2/2009,247002,3,TRUE,,2022-11-16T02:16:04Z,"folk,indie folk,folk rock",Glassnote Entertainment Group LLC,0.52,0.496,5,-8.121,1,0.0271,0.0234,0.0000205,0.0905,0.496,138.81,4
spotify:track:6iZqLLZaIXFbU2zeTWSwmT,Parade,North (Deluxe Edition),Matchbox Twenty,8/28/2012,251746,48,FALSE,,2022-11-16T01:49:38Z,post-grunge,Emblem/Atlantic,0.544,0.938,0,-4.432,1,0.0401,0.00178,0.000586,0.311,0.237,129.987,4
spotify:track:0kr6d8wHDQPlzuET33NVn6,All You Wanted,The Spirit Room,Michelle Branch,7/31/2001,217680,70,FALSE,,2022-11-16T01:38:56Z,,Maverick,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,4
spotify:track:7oc2wH81jpU45L5H2JnThI,Dead Inside,Awake (Deluxe Edition),Skillet,8/21/2009,176706,53,FALSE,,2022-11-16T00:30:54Z,"christian rock,christian alternative rock,christian",Atlantic Records,0.384,0.909,11,-3.706,0,0.0568,0.00151,0,0.331,0.457,159.999,4
spotify:track:2UfKuGYONPAuopJtpGfZyA,Open Wounds,Collide,Skillet,11/18/2003,194773,50,FALSE,,2022-11-16T00:26:16Z,"christian rock,christian alternative rock,christian",Lava,0.573,0.922,0,-4.013,1,0.0695,0.0595,0,0.414,0.503,101.099,4
spotify:track:0i8JFpqe9cKwnrcvoNgl1L,Feel Invincible,Unleashed,Skillet,8/5/2016,229933,78,FALSE,,2022-11-16T00:26:03Z,"christian rock,christian alternative rock,christian",Atlantic Records,0.603,0.886,5,-3.777,0,0.0837,0.00045,0,0.26,0.395,126.025,4
spotify:track:37CMjUAU8fL6YqZVTplZqZ,The Last Night,Comatose,Skillet,10/4/2006,210786,58,FALSE,,2022-11-16T00:23:59Z,"christian rock,christian alternative rock,christian",Lava/Atlantic,0.358,0.856,2,-2.934,1,0.0471,0.0253,0,0.233,0.542,169.81,4
